Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
Acne Studios,Fall 2016,Feminine,"Deep V-neck top, wide-leg vinyl pants",Thin belt,"Voluminous, layered","Innovative, edgy","Animal print sleeves, metallic accents",
Acne Studios,Fall 2016,Feminine,"Vinyl bodysuit, layered leggings, plaid wrap",Clutch bag,"Fitted, layered","Eclectic, futuristic","Mixed materials, bold textures",
Acne Studios,Fall 2016,Feminine,"Oversized coat, knee-high boots",Metallic belt,"Oversized, structured","Avant-garde, modern","Textured fabric, asymmetrical design",
Prada,Spring 2016,Feminine,"Tweed jacket, sheer skirt","Grey pom-pom earrings, striped handbag","Structured, sheer","Eclectic, avant-garde","Red netting detail, gold lip color",
Zoe Jordan,Spring 2016,Feminine,"White camo jacket, white camo shorts",Metallic shoes,"Boxy, relaxed","Casual, sporty","Drawstring details, monochrome camo",
Prada,Spring 2016,Feminine,"Tweed jacket, striped blouse, plaid skirt","Blue pom-pom earrings, brown handbag","Structured, layered","Eclectic, avant-garde","Intricate netting detail, bold color accents",
Prada,Spring 2016,Feminine,"Plaid jacket, plaid skirt","Black handbag, large geometric earrings","Structured, tailored","Modern, eclectic",Contrasting patterns and textures,
Iceberg,Fall 2016,Feminine,"Black cardigan with colorful squares, red turtleneck, black pants","Red shoulder bag, blue and black shoes","Relaxed, layered","Casual, graphic",Layered look with bold color accents,
Iceberg,Fall 2016,Feminine,Black turtleneck dress with colorful squares,"Color-block clutch, blue and black shoes","Fitted, midi-length","Playful, graphic",Bright geometric patterns on a dark base,
Adam Lippes,Spring 2016,Feminine,"Gray sweater, gold pleated pants",Black embellished sandals,"Relaxed, flowing","Casual, elegant",Subtle shimmer on pants,
Adam Lippes,Spring 2016,Feminine,Cream textured dress with lace detail,Black ankle-strap flats,"Straight, minimal","Minimalist, sophisticated","Textured fabric, subtle lace accent",
Adam Lippes,Spring 2016,Feminine,"Blue striped top, beige trousers with black stripe",Black fringe sandals,"Loose, casual","Sporty, chic","Relaxed fit, sporty stripe detail",
Marco de Vincenzo,Spring 2016,Feminine,"Strapless top, pleated skirt",Blue woven shoes,A-line,"Elegant, vibrant","Ombre effect on skirt, structured bodice",
Marco de Vincenzo,Spring 2016,Feminine,"Gradient top, fringed skirt",Red woven shoes,Flowy,"Artistic, bold","Sunset gradient on top, textured skirt",
Stella McCartney,Fall 2016,Feminine,"Black peplum top, metallic pleated skirt",Red statement earring,"Fitted top, flowing skirt","Elegant, modern",Contrast of textures with a statement accessory,
Stella McCartney,Fall 2016,Feminine,"Denim jacket, blue shirt, gray wide-leg pants",,"Oversized, layered","Casual, contemporary",Denim on denim with a relaxed fit,
Stella McCartney,Fall 2016,Feminine,"Black wrap coat, black pants",Black handbag,"Relaxed, draped","Chic, understated",Monochrome look with subtle texture,
Stella McCartney,Fall 2016,Feminine,Pink ruffled dress,,"Flowy, voluminous","Romantic, bold",Bright color with soft ruffle details,
Stella McCartney,Fall 2016,Feminine,"Gray blazer, silver top, swan print pants",Single earring,"Relaxed, tailored","Eclectic, chic",Playful print with metallic accents,
Stella McCartney,Fall 2016,Feminine,"Brown puffer coat, gray shirt, black quilted shorts",White pointed flats,"Oversized, layered","Casual, sporty",Mix of textures with a focus on warmth,
Stella McCartney,Fall 2016,Feminine,Rust lace and pleated dress,None visible,"Flowy, elongated","Romantic, delicate","Lace detailing, soft pleats",
Stella McCartney,Fall 2016,Feminine,Black quilted coat,None visible,"Cocoon, enveloping","Cozy, protective","Quilted texture, monochrome",
Stella McCartney,Fall 2016,Feminine,"Brown velvet puffer vest, metallic pleated pants",None visible,"Oversized, voluminous","Luxurious, textured","Rich fabric contrasts, warm tones",
Marco de Vincenzo,Spring 2016,Feminine,"Gradient blouse, beige textured pants",Blue fuzzy shoes,"Straight, relaxed","Colorful, gradient","Bold color transitions, textured pants",
Marco de Vincenzo,Spring 2016,Feminine,"Floral metallic coat, white blouse, red patterned skirt",Blue woven shoes,"A-line, layered","Eclectic, vibrant","Mix of patterns, metallic sheen",
Marco de Vincenzo,Spring 2016,Feminine,"Geometric patterned top, silver pleated skirt",Pink woven shoes,"Flowy, pleated","Geometric, playful","Textured top, shiny pleats",
Prada,Spring 2016,Feminine,"Beige cropped jacket, patterned pencil skirt","Large geometric earrings, striped handbag","Structured, tailored","Eclectic, modern",Contrasting patterns and textures,
Prada,Spring 2016,Feminine,"Gray coat, red top, black skirt","Large round earrings, striped handbag","Structured, layered","Bold, sophisticated",Mix of sheer and solid fabrics,
Prada,Spring 2016,Feminine,"Black coat with red lining, sheer blouse, black skirt",Large geometric earrings,"A-line, layered","Avant-garde, chic",Play of transparency and color blocking,
Prada,Spring 2016,Feminine,"White jacket with red piping, plaid skirt","White handbag, large geometric earrings","Structured, tailored","Modern, eclectic",Mix of textures and patterns,
Prada,Spring 2016,Feminine,"Patterned jacket, mixed plaid skirt","Gray handbag, pink pom-pom earrings","Structured, tailored","Modern, eclectic",Layered textures with bright accents,
Iceberg,Fall 2016,Feminine,Black one-shoulder dress with colorful squares,Blue and black shoes,"Loose, midi-length","Modern, graphic",Asymmetrical design with vibrant square patterns,
Zoe Jordan,Spring 2016,Feminine,White camo sleeveless dress,"Metallic shoes, white socks","A-line, fitted","Minimalist, sporty","Monochrome camo, clean lines",
Zoe Jordan,Spring 2016,Feminine,"Mesh top, printed skirt",Metallic shoes,"Relaxed, layered","Textured, artistic","Mesh overlay, abstract print",
Rachel Antonoff,Fall 2016,Feminine,White graphic t-shirt,,"Casual, relaxed","Playful, vintage",Features a typewriter as a prop,
Rachel Antonoff,Fall 2016,Feminine,"Printed blouse, pink pants",Red shoes,"Casual, comfortable","Retro, quirky","Model in a wheelchair, playful setting",
Rachel Antonoff,Fall 2016,Masculine,"Graphic t-shirt, blue checkered vest",Black glasses,"Casual, relaxed","Playful, modern",Features a typewriter as a prop,
Rachel Antonoff,Fall 2016,Feminine,"Coral coat, checkered dress",,"A-line, oversized","Retro, playful",Bright color contrast with background,
Rachel Antonoff,Fall 2016,Feminine,"Blue blouse, plaid pants, printed dress",Colorful necklace,"Tailored, relaxed","Eclectic, vibrant",Mix of patterns and textures,
Rachel Antonoff,Fall 2016,Feminine,"Graphic t-shirt, denim skirt",,"A-line, casual","Casual, vintage-inspired",Graphic text adds a playful touch,
Rachel Antonoff,Fall 2016,Feminine,Red dress with multicolored collar and cuffs,,A-line,"Playful, vibrant",Colorful detailing on collar and cuffs,
Rachel Antonoff,Fall 2016,Feminine,"Printed dress, blue blouse with bow, red skirt","White heels, red heels",Fit and flare,"Chic, retro",Mix of prints and bold colors,
Rachel Antonoff,Fall 2016,Feminine,"Denim jacket, black top",,Boxy,"Casual, modern",Denim with raw edges,
Rachel Antonoff,Spring 2016,Feminine,Beige sleeveless romper,"Brown boat shoes, axe","Casual, relaxed","Utility, playful",Outdoor theme with axe,
Rachel Antonoff,Spring 2016,Feminine,Beige sleeveless dress,"White platform sandals, red first aid kit","Casual, relaxed","Utility, playful",Outdoor theme with first aid kit,
Rachel Antonoff,Spring 2016,Feminine,"Beige jacket, white shirt, blue striped shorts","White platform sandals, red first aid kit","Casual, relaxed","Utility, playful",Outdoor theme with playful elements,
Rachel Antonoff,Spring 2016,Feminine,"Sleeveless white blouse, blue and white striped wide-leg pants",Red pipe,"Relaxed, wide-leg","Playful, nautical",Embroidered collar details,
Rachel Antonoff,Spring 2016,Feminine,Blue and white striped jumpsuit,Book,"Relaxed, wide-leg","Playful, nautical","Deep V-neckline, zipper front",
Rachel Antonoff,Spring 2016,Feminine,"White crop top, blue and white striped skirt",,"A-line, high-waisted","Casual, youthful","Graphic tee text, mixed stripe directions",
Rachel Antonoff,Spring 2016,Feminine,Blue and white striped dress,"Coca-Cola bottle, lantern",A-line,"Playful, retro",Casual summer look with nostalgic elements,
Rachel Antonoff,Spring 2016,Feminine,White eyelet jumpsuit,Colorful bird props,"Loose, cropped","Whimsical, bohemian",Nature-inspired with playful props,
Rachel Antonoff,Spring 2016,Feminine,White eyelet maxi dress,"Floral cap, Coca-Cola bottle","Straight, relaxed","Romantic, vintage","Soft, dreamy aesthetic with vintage vibes",
Zoe Jordan,Spring 2016,Feminine,Printed dress,"Mesh tote bag, metallic shoes","Flowy, straight","Minimalist, artistic","Monochrome print, casual elegance",
Zoe Jordan,Spring 2016,Feminine,"Mesh tank, printed shorts","Printed clutch, metallic shoes","Casual, fitted","Modern, sporty","Mesh texture, abstract print",
Zoe Jordan,Spring 2016,Feminine,"White knit top, white trousers",Black rope belt,"Relaxed, tailored","Minimalist, nautical","Cut-out shoulder detail, monochrome look",
Zoe Jordan,Spring 2016,Feminine,"White knit sweater, lime green mini skirt",White rope belt,A-line,"Casual, fresh","Textured sleeves, bright color contrast",
Zoe Jordan,Spring 2016,Feminine,Lime green sleeveless dress,,"Fitted, straight","Chic, modern","Simple silhouette, vibrant color",
Sonia Rykiel,Fall 2016,Feminine,"Red plaid coat with fur collar, black sheer dress",Gold earrings,"Long, layered","Chic, elegant","Rich textures, bold fur accent",
Zoe Jordan,Spring 2016,Feminine,"White camo blazer, white camo wide-leg pants","Metallic shoes, rope belt","Tailored, structured","Chic, modern","Monochrome camo, deep V-neck",
Sonia Rykiel,Fall 2016,Feminine,"Red plaid suit, black blouse",Statement earrings,"Tailored, relaxed","Sophisticated, classic","Plaid pattern, structured jacket",
Sonia Rykiel,Fall 2016,Feminine,"Red textured jacket, satin blouse, leather skirt","Red clutch, belt","Structured, layered","Elegant, bold","Rich textures, deep red tones",
Givenchy,Spring 2016,Feminine,"White criss-cross top, white lace skirt",Statement necklace,"Fitted, knee-length","Chic, ethereal","Delicate lace, light color palette",
Givenchy,Spring 2016,Feminine,"Black lace top, black satin robe, black wide-leg pants",,"Flowy, relaxed","Luxe, boudoir","Sheer lace, satin finish",
Givenchy,Spring 2016,Feminine,"Black criss-cross top, black lace skirt",,"Fitted, knee-length","Elegant, gothic",Intricate lace detailing,
Givenchy,Spring 2016,Feminine,"Black satin robe, lace top, trousers",,"Relaxed, tailored","Chic, sophisticated","Satin lapels, layered textures",
Givenchy,Spring 2016,Feminine,Black lace slip dress,,"Slim, flowing","Sensual, elegant","Sheer lace, satin finish",
Givenchy,Spring 2016,Feminine,"White lace dress, draped top",White lace-up boots,"A-line, delicate","Romantic, ethereal","Intricate lace details, soft draping",
Givenchy,Spring 2016,Feminine,"White lace top, black trousers",,"Structured, elegant","Chic, minimal",Contrasting black and white,
Givenchy,Spring 2016,Feminine,White lace slip dress,White lace-up ankle boots,"A-line, delicate","Ethereal, vintage",Intricate lace patterns,
Givenchy,Spring 2016,Feminine,"White lace camisole, black wide-leg trousers",,"Flowy, layered","Lingerie-inspired, romantic",Delicate lace detailing,
Givenchy,Fall 2016,Feminine,Patterned top and skirt,None visible,"Fitted, layered","Artistic, geometric","Bold prints, eye motifs, structured ruffles",
Givenchy,Fall 2016,Feminine,Patterned dress,None visible,A-line,"Artistic, geometric","Eye motifs, intricate prints",
Givenchy,Fall 2016,Feminine,"Black coat with fur collar, patterned top",None visible,"Layered, structured","Luxurious, eclectic",Mix of textures with fur and patterns,
Givenchy,Fall 2016,Feminine,Graphic printed dress,,A-line,"Bold, graphic, eclectic","Intricate patterns, high contrast",
Givenchy,Fall 2016,Feminine,Graphic printed dress,,A-line,"Bold, graphic, eclectic","Intricate patterns, high contrast",
Givenchy,Fall 2016,Feminine,"Graphic printed blouse, black shorts",,"Structured, fitted","Bold, graphic, eclectic","Intricate patterns, high contrast",
Givenchy,Fall 2016,Feminine,"Leopard print coat, metallic embellished top, black pants",None visible,"Tailored, structured","Luxurious, animal print","Rich textures, statement coat",
Givenchy,Fall 2016,Feminine,"Black coat, metallic embellished top, black skirt",None visible,"Tailored, structured","Edgy, military-inspired","Bold metallic details, strong shoulders",
Givenchy,Fall 2016,Feminine,"Black coat, metallic embellished top, black skirt",None visible,"Tailored, structured","Edgy, military-inspired","Bold metallic details, strong shoulders",
Sonia Rykiel,Fall 2016,Feminine,"Navy striped coat with textured sleeves, navy pants",Gold buttons,Layered,"Sophisticated, textured","Textured sleeves, tonal layering",
Sonia Rykiel,Fall 2016,Feminine,"Red and black striped dress, red scarf",Gold buttons,Fitted,"Chic, nautical","Double-breasted, scarf detail",
Sonia Rykiel,Fall 2016,Feminine,"Black dress with white collar, red and black striped tights",Black belt bag,A-line,"Playful, eclectic","Bold stripes, contrast collar",
Sonia Rykiel,Fall 2016,Feminine,"Striped knit top, striped knit skirt",Black clutch,"Fitted, layered","Chic, modern","Contrasting stripes, sleek fit",
Sonia Rykiel,Fall 2016,Feminine,Red ruffled dress,Black belt,"Flowy, tiered","Romantic, vibrant","Bright red, ruffle details",
Sonia Rykiel,Fall 2016,Feminine,"Brown plaid cropped jacket, matching trousers, nude blouse",None visible,"Cropped, wide-leg","Retro, modern","Cropped silhouette, vintage-inspired",
Iceberg,Fall 2016,Feminine,"Black coat, black dress","Silver strap bag, blue ring","Structured, straight","Minimalist, modern","Wet hair look, bold footwear",
Iceberg,Fall 2016,Feminine,"Black turtleneck, patterned pants",Black and white hat,"Relaxed, straight","Graphic, sporty","Colorful geometric patterns, monochrome hat",
Iceberg,Fall 2016,Feminine,"Blue faux fur coat, black turtleneck",,"Oversized, cocoon","Bold, statement","Bright color, textured material",
Issey Miyake,Spring 2016,Feminine,"Color-block top, fringed plaid skirt",Fringed necklace,"Straight, fitted","Eclectic, vibrant",Mix of textures and colors with a statement necklace,
Issey Miyake,Spring 2016,Feminine,"Color-block sleeveless top, fringed wrap skirt",,"A-line, relaxed","Colorful, playful",Bold color blocking with fringe details,
Issey Miyake,Spring 2016,Feminine,Fringed sleeveless dress,"Colorful platform sandals, tassel earrings","Straight, fitted","Dynamic, colorful","Fringe embellishments, bold stripes",
Issey Miyake,Spring 2016,Feminine,"Fringed sleeveless top, fringed skirt",Colorful platform sandals,"Straight, layered","Eclectic, textured","Contrasting textures, fringe accents",
Issey Miyake,Spring 2016,Feminine,"Fringed poncho, black shorts","Colorful platform sandals, tassel earrings","Relaxed, layered","Playful, vibrant","Bold color blocking, fringe details",
Christian Dior,Spring 2016,Feminine,"White crop top, white shorts","Floral choker, black and white ankle strap shoes","Fitted, tailored","Minimalist, fresh","Scalloped edges, youthful vibe",
Christian Dior,Spring 2016,Feminine,"Black blazer, white dress","Floral choker, white handbag, black and white ankle strap shoes","Structured, layered","Chic, sophisticated","Contrast of black and white, tailored look",
Christian Dior,Spring 2016,Feminine,"Black blazer, white dress","Floral choker, white cylindrical handbag, nude ankle strap shoes","Structured, layered","Elegant, modern","Cylindrical bag, monochrome contrast",
Christian Dior,Spring 2016,Feminine,"White crop top, black skirt","Floral choker, blue handbag","A-line, fitted","Chic, modern","Scalloped edges, floral details",
Christian Dior,Spring 2016,Feminine,"White sheer crop top, white shorts",Choker with red detail,"Boxy, fitted","Minimalist, elegant","Sheer fabric, scalloped edges",
Christian Dior,Spring 2016,Feminine,"White crop top, white shorts, black blazer",Floral choker,"Tailored, structured","Sophisticated, layered","Contrasting blazer, scalloped edges",
Christian Dior,Spring 2016,Feminine,"Black sleeveless coat, white top, black pleated skirt","Floral neck scarf, black handbag","A-line, layered","Elegant, sophisticated","Contrasting textures, floral detail",
Christian Dior,Spring 2016,Feminine,"White crop top, white shorts, white coat",Floral neck scarf,"Fitted, flowing","Chic, modern","Monochrome look, playful layering",
Christian Dior,Spring 2016,Feminine,"Cream knit sweater, white pleated dress",Choker necklace,"Relaxed, structured","Casual, refined","Textured knit, pleated skirt",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Black leather trench coat, beige pants",Black lace-up boots,"A-line, tailored","Chic, modern","Glossy finish, classic trench style",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Gold ribbed cardigan, black shirt",,"Fitted, sleek","Sophisticated, textured","Button details, layered look",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Beige top with ruffled collar, beige pants",Brown ankle boots,"Structured, elegant","Chic, modern","Dramatic collar, tonal outfit",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Beige jumpsuit, white top",Beige loafers,"Relaxed, casual","Minimalist, comfortable","Drawstring waist, neutral tones",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Textured coat, matching pants, turtleneck",White lace-up boots,Straight,"Cozy, chic","Monochrome look, textured fabric",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Metallic gold dress, gray cardigan",White lace-up boots,Fitted,"Edgy, modern","Contrasting textures, bold metallic",
Maryam Nassir Zadeh,Fall 2016,Feminine,"Metallic blazer, pleated skirt, turtleneck",Suede heels,A-line,"Elegant, classic","Shimmering texture, neutral palette",
Christian Wijnants,Fall 2016,Feminine,"Green leather top, striped skirt, beige ribbed top","Orange textured clutch, long beige gloves","A-line, layered","Eclectic, modern","Bold color contrast, mixed textures",
Christian Wijnants,Fall 2016,Feminine,"Striped puffer coats, striped dresses","Orange textured clutch, lace-up boots","Oversized, layered","Casual, contemporary","Cozy outerwear, coordinated stripes",
Issey Miyake,Spring 2016,Feminine,Fringed plaid dress,"Wide-brimmed hat, fringed earrings","Straight, relaxed","Textured, natural",Natural tones with fringe accents and a matching hat,
Christian Wijnants,Fall 2016,Feminine,"Orange textured coat, striped dress",,"Oversized, structured","Bold, statement","Vibrant outerwear, contrasting patterns",
Issey Miyake,Spring 2016,Feminine,"Color-blocked shirt, patchwork skirt",Platform sandals,"Asymmetrical, fitted","Eclectic, vibrant","Fringe details, bold color blocking",
Issey Miyake,Spring 2016,Feminine,Pink and yellow sleeveless dress,Purple sandals,"Straight, loose","Bold, youthful","Color blocking, minimalistic design",
Edeline Lee,Fall 2016,Feminine,"Black deep V-neck dress, black leggings",Black ankle boots,"Fitted, layered","Edgy, sleek","Deep neckline, monochrome layering",
Edeline Lee,Fall 2016,Feminine,"Cream top with black trim, cream wide-leg pants",,"Relaxed, wide-leg","Chic, contemporary","Contrasting trim, monochrome look",
Edeline Lee,Fall 2016,Feminine,Cream oversized dress with pockets,Black ankle boots,"Loose, flowing","Minimalist, modern","Textured fabric, oversized pockets",
Edeline Lee,Fall 2016,Feminine,"White tunic, white leggings",None visible,"A-line, fitted","Monochrome, minimalist","Pleated tunic, sleek leggings",
Edeline Lee,Fall 2016,Feminine,White dress with black trim,None visible,"Fitted, midi","Monochrome, minimalist","Deep V-neck, contrast trim",
Edeline Lee,Fall 2016,Feminine,"White coat with black trim, black dress",None visible,"Tailored, belted","Monochrome, minimalist","Contrast trim, oversized pockets",
Edeline Lee,Fall 2016,Feminine,Cream oversized coat with black trim,,"Boxy, oversized","Minimalist, modern","Contrasting black trim, wide lapels",
Edeline Lee,Fall 2016,Feminine,"Cream jumpsuit with black trim, large pockets",,"Loose, relaxed","Minimalist, utilitarian","Contrasting black trim, oversized pockets",
Thomas Tait,Spring 2016,Feminine,"White blouse, red embellished mini skirt",,"Structured, A-line","Chic, modern","High contrast, glossy finish",
Thomas Tait,Spring 2016,Feminine,"White tunic dress, black embellished leggings",Red neck scarf,"A-line, fitted","Eclectic, avant-garde","Bold embellishments, contrast textures",
Thomas Tait,Spring 2016,Feminine,White button-up jumpsuit with cutouts,,"Relaxed, straight","Futuristic, minimal","Geometric cutouts, monochrome",
Karen Walker,Spring 2016,Feminine,"Patterned jacket, white textured skirt",Large sunglasses,"Voluminous, layered","Retro, chic","Bold sunglasses, structured jacket",
Thomas Tait,Spring 2016,Feminine,"Mint tunic, matching pants",,"Loose, flowing","Futuristic, minimalist",Circular cutouts and embellishments,
Thomas Tait,Spring 2016,Feminine,"White textured turtleneck, white skirt",,"Fitted top, A-line skirt","Minimalist, futuristic",Circular detail on skirt,
Jacquemus,Fall 2016,Feminine,"Purple cropped turtleneck, gray pinstripe pants",Orange crossbody bag,"Boxy, cropped","Bold, modern",Contrast with bright accessory,
Jacquemus,Fall 2016,Feminine,"Light blue turtleneck, navy sleeveless dress, wide-leg pants",,"Relaxed, layered","Minimalist, contemporary",Playful layering with side ties,
Jacquemus,Fall 2016,Feminine,"White oversized shirt, navy skirt, wide-leg pants",,"Oversized, layered","Avant-garde, deconstructed",Dramatic shoulder detail,
Jacquemus,Fall 2016,Feminine,"Brown asymmetrical dress, mustard sleeve",,"Asymmetrical, fitted","Artistic, modern","Single sleeve design, contrasting colors",
Jacquemus,Fall 2016,Feminine,"Light blue turtleneck sweater, brown circular mini skirt",,"Voluminous, playful","Innovative, youthful","Unique skirt shape, thigh-high boots",
Jacquemus,Fall 2016,Feminine,"Navy pinstripe oversized blazer, yellow turtleneck, pinstripe trousers",Red pocket square,"Oversized, structured","Avant-garde, bold","Exaggerated shoulders, vibrant color contrast",
Thomas Tait,Spring 2016,Feminine,White dress with cutouts,Black choker,"Flowy, asymmetrical","Elegant, contemporary",Sheer sleeves with geometric patterns,
Thomas Tait,Spring 2016,Feminine,"Striped knit dress, long cardigan",Drop earrings,"Fitted, layered","Textured, casual",Pastel tones with circular embellishments,
Thomas Tait,Spring 2016,Feminine,"White halter dress, black pants",,"A-line, flowy","Minimalist, modern",High neck with button details,
Issey Miyake,Spring 2016,Feminine,"Orange top, wide-leg pants",Platform sandals,"Relaxed, flowing","Casual, colorful","Contrasting textures, playful layering",
Christian Wijnants,Fall 2016,Feminine,"Green turtleneck, sheer pink slip dress, striped skirt","Blue metallic clutch, long gloves","Asymmetrical, layered","Eclectic, modern",Mix of textures and colors,
Christian Wijnants,Fall 2016,Feminine,"Pink top, green slip dress, striped skirt, cropped pants","Orange metallic clutch, long gloves","Layered, asymmetrical","Contemporary, layered",Play of contrasts with metallic accents,
Christian Wijnants,Fall 2016,Feminine,"Orange top, pink slip dress, striped skirt; Pink top, green slip dress, striped skirt","Orange and blue metallic clutches, long gloves","Layered, asymmetrical","Bold, eclectic",Dual look with complementary colors,
Phelan,Fall 2016,Feminine,Black and white patterned dress,"Brown knit beanie, orange necklace","A-line, flared","Graphic, bold","Geometric patterns, sleeveless",
Phelan,Fall 2016,Feminine,"Black and white plaid coat, patterned dress underneath",Gray knit beanie,"Long, layered","Monochrome, structured","Plaid outer layer, contrasting patterns",
Saint Laurent,Fall 2016,Feminine,"Black blazer, sheer polka dot blouse, black trousers","Statement earrings, black belt","Tailored, structured","Elegant, dramatic","Ruffled collar, sheer details",
Saint Laurent,Fall 2016,Feminine,Black mini dress with deep V-neck,"Silver choker, ear cuffs","Fitted, bold","Edgy, glamorous","Ruffled neckline, high contrast",
Saint Laurent,Fall 2016,Feminine,"Black textured top, black trousers","Gold choker, gold bracelets","Structured, angular","Sophisticated, powerful","Wide shoulders, glossy finish",
Saint Laurent,Fall 2016,Feminine,"Silver sequin mini dress, black fur vest","Black belt, earrings","Fitted, structured","Glamorous, edgy","Bold shoulders, metallic shine",
Saint Laurent,Fall 2016,Feminine,Black leather one-shoulder mini dress,"Black belt, earrings","Fitted, asymmetrical","Dramatic, avant-garde","Ruffled shoulder, sleek leather",
Saint Laurent,Fall 2016,Feminine,Black textured mini dress,"Black wide belt, earrings","Fitted, structured","Chic, modern","Strong shoulders, oversized belt",
Saint Laurent,Fall 2016,Feminine,One-shoulder mini dress with gold and black sequin pattern,"Wide black belt, silver choker, gold earrings","Fitted, short","Glamorous, bold","Animal print, asymmetric neckline",
Saint Laurent,Fall 2016,Feminine,"Striped mini dress, oversized blue fur coat","Large gold belt, statement earrings","Voluminous, structured","Dramatic, luxurious","Bold color contrast, oversized silhouette",
Saint Laurent,Fall 2016,Feminine,Black sequined mini dress,"Wide black belt, statement earrings","Fitted, short","Elegant, sophisticated","All-black ensemble, strong shoulders",
Coach,Fall 2016,Feminine,"Red varsity jacket, patterned mini dress",Gold ankle boots,"Boxy, layered","Sporty, youthful",Bold varsity patches,
Coach,Fall 2016,Feminine,"Blue varsity jacket, floral mini dress","Brown leather handbag, gray ankle boots","Boxy, layered","Sporty, eclectic",Contrasting textures,
Coach,Fall 2016,Feminine,"Orange varsity jacket, floral mini dress",Gold ankle boots,"Boxy, layered","Sporty, vibrant",Playful color combination,
Coach,Fall 2016,Feminine,"Red and cream varsity jacket, red and black skirt","Color-blocked handbag, gold studded loafers","A-line, cropped","Sporty, collegiate","Varsity patches, bold color contrast",
Coach,Fall 2016,Feminine,"Blue and gray varsity jacket, blue and gray skirt","Gray and blue handbag, silver studded loafers, white sunglasses","A-line, cropped","Sporty, collegiate","NYC patch, playful graphics",
Coach,Fall 2016,Feminine,"Black and white varsity jacket, black skirt","White and red handbag, red studded loafers","A-line, oversized","Sporty, collegiate","Graphic patches, bold detailing",
Coach,Fall 2016,Feminine,Printed shirt dress,"Black shoulder bag, gold loafers","A-line, fitted","Playful, retro","Star and moon print, bold belt detail",
Coach,Fall 2016,Feminine,"Camel coat with fur collar, printed dress","Navy and orange handbag, gold ankle boots","Layered, oversized","Eclectic, vintage-inspired","Contrasting textures, vibrant colors",
Coach,Fall 2016,Feminine,"Camel trench coat with fur collar, white dress","Orange and navy handbag, gold ankle boots, white sunglasses","Layered, relaxed","Chic, retro","Statement sunglasses, mix of neutrals and bold colors",
Iceberg,Fall 2016,Feminine,"Gray patterned sweater, white shirt, black vinyl skirt","Orange socks, black loafers","Boxy, structured","Graphic, edgy",Checkerboard pattern on sweater,
Iceberg,Fall 2016,Feminine,"Gray patterned sweater, white shirt, navy patterned pants","White socks, green loafers","Relaxed, layered","Graphic, modern",Bold color blocks on sweater,
Iceberg,Fall 2016,Feminine,"Black patterned long shirt dress, black turtleneck","White socks, green loafers","Loose, flowing","Geometric, casual",Colorful geometric pattern,
Phelan,Fall 2016,Feminine,Gray textured knit dress,"Brown knit beanie, black belt","Fitted, long","Textured, sporty","High slit, layered knit",
Phelan,Fall 2016,Feminine,"Open-knit top, plaid skirt","Knit beanie, sneakers","Layered, relaxed","Grunge, textured",Play of open-knit and plaid patterns,
Phelan,Fall 2016,Feminine,"Striped top, plaid skirt, sheer overlay",,"Layered, flowing","Monochrome, eclectic",Combination of patterns and textures,
Phelan,Fall 2016,Feminine,"Sheer top, metallic pleated skirt","Knit beanie, sneakers","Fitted, layered","Textured, sporty",Mix of sheer and metallic textures,
Christian Wijnants,Fall 2016,Feminine,"Striped puffer jacket, striped wide-leg pants, green turtleneck","Blue clutch, white gloves","Oversized, relaxed","Eclectic, bold",Mix of vertical and horizontal stripes,
Christian Wijnants,Fall 2016,Feminine,"Blue patterned sweater, asymmetric striped skirt",Striped wedge boots,"Asymmetric, layered","Playful, contrasting",Mix of patterns and textures,
Christian Wijnants,Fall 2016,Feminine,"Mint green oversized coat, striped turtleneck",Orange clutch,"Voluminous, structured","Cozy, chic",Textured coat with bold color contrast,
Temperley London,Fall 2016,Feminine,Embroidered dress with lace sleeves,Black studded ankle boots,A-line,"Bohemian, eclectic","Mix of textures, vibrant embroidery",
Temperley London,Fall 2016,Feminine,Sheer embroidered dress,Nude ankle boots,Form-fitting,"Ethereal, bold","Animal and floral motifs, sheer fabric",
Temperley London,Fall 2016,Feminine,"Light blue embroidered jacket, white blouse with bow, floral embroidered skirt",White ankle boots,"Fitted, layered","Romantic, intricate","Detailed embroidery, soft color palette",
Temperley London,Fall 2016,Feminine,Floral print gown with high slit,Drop earrings,Flowy,"Romantic, ethereal","High neck, dramatic sleeves, floral pattern",
Temperley London,Fall 2016,Feminine,Black embroidered dress with sheer sleeves,Drop earrings,A-line,"Bohemian, eclectic","Vibrant embroidery, sheer detailing",
Temperley London,Fall 2016,Feminine,"White blouse with bow, embroidered vest, blue high-waisted trousers",Hoop earrings,"Tailored, relaxed","Romantic, vintage-inspired","Intricate embroidery, soft color palette",
IRO,Spring 2016,Feminine,"Black lace-up top, floral maxi skirt",Black belt,"Flowy, relaxed","Bohemian, edgy",Contrasting textures and patterns,
